day,colony,rep,temp_treat,ID,alates,female,male,cumlative,ave_temp,max_temp,min_temp
1,A,1,20,A1,0,0,0,0,NA,NA,NA
2,A,1,20,A1,0,0,0,0,NA,NA,NA
3,A,1,20,A1,0,0,0,0,NA,NA,NA
4,A,1,20,A1,0,0,0,0,21.5,22,20.5
5,A,1,20,A1,0,0,0,0,20.77083,21,20.5
6,A,1,20,A1,0,0,0,0,20.89583,22.5,20.5
7,A,1,20,A1,0,0,0,0,21.33333,22.5,20.5
8,A,1,20,A1,0,0,0,0,21.4375,22.5,20.5
9,A,1,20,A1,0,0,0,0,21.64583,22.5,21
10,A,1,20,A1,0,0,0,0,21.75,22.5,21
11,A,1,20,A1,0,0,0,0,21.79167,22.5,21
12,A,1,20,A1,0,0,0,0,21.72917,22.5,21
13,A,1,20,A1,0,0,0,0,21.79167,22.5,21
14,A,1,20,A1,0,0,0,0,21.70833,22.5,21
15,A,1,20,A1,0,0,0,0,21.5,22,21
16,A,1,20,A1,0,0,0,0,21.35417,22.5,20.5
17,A,1,20,A1,1,0,1,1,20.85417,21,20.5
18,A,1,20,A1,0,0,0,1,21.25,21.5,21
19,A,1,20,A1,1,1,0,2,21.39583,22,21
20,A,1,20,A1,0,0,0,2,21.79167,22.5,21.5
21,A,1,20,A1,0,0,0,2,22,23,21
22,A,1,20,A1,0,0,0,2,21.5,22.5,20.5
23,A,1,20,A1,0,0,0,2,21.10417,21.5,20.5
24,A,1,20,A1,0,0,0,2,21.33333,22,20
25,A,1,20,A1,0,0,0,2,20.3125,20.5,20
26,A,1,20,A1,0,0,0,2,20.58333,21.5,20.5
27,A,1,20,A1,1,0,1,3,21.125,21.5,20.5
28,A,1,20,A1,1,0,1,4,20.4375,20.5,20
29,A,1,20,A1,0,0,0,4,20.60417,22.5,20
30,A,1,20,A1,5,0,5,9,21.91667,23,21
31,A,1,20,A1,88,11,77,97,22.04167,23.5,21
32,A,1,20,A1,1,0,1,98,22.39583,25.5,21.5
33,A,1,20,A1,0,0,0,98,21.6875,22.5,20.5
34,A,1,20,A1,0,0,0,98,21.16667,22.5,20.5
35,A,1,20,A1,0,0,0,98,21.0625,22,20.5
36,A,1,20,A1,0,0,0,98,20.60417,21,20.5
37,A,1,20,A1,2,0,2,100,20.9375,21.5,20.5
38,A,1,20,A1,3,0,3,103,20.72917,21.5,20
39,A,1,20,A1,0,0,0,103,20.3125,21,20
40,A,1,20,A1,0,0,0,103,20.20833,20.5,20
41,A,1,20,A1,1,0,1,104,20.89583,22.5,20.5
42,A,1,20,A1,0,0,0,104,21.5,22.5,20.5
43,A,1,20,A1,0,0,0,104,21.39583,22.5,20.5
44,A,1,20,A1,4,0,4,108,21.625,22.5,20.5
45,A,1,20,A1,3,0,3,111,21.02083,22.5,20
46,A,1,20,A1,0,0,0,111,20.64583,21.5,20
47,A,1,20,A1,0,0,0,111,19.79167,20.5,19
48,A,1,20,A1,0,0,0,111,20.1875,21,19
49,A,1,20,A1,0,0,0,111,20.77083,21.5,20.5
50,A,1,20,A1,0,0,0,111,20.89583,21.5,20.5
51,A,1,20,A1,0,0,0,111,21.04167,21.5,20
52,A,1,20,A1,0,0,0,111,20.35417,21,20
53,A,1,20,A1,0,0,0,111,20.91667,21.5,20.5
54,A,1,20,A1,0,0,0,111,20.5,20.5,20.5
55,A,1,20,A1,0,0,0,111,20.60417,21,20
56,A,1,20,A1,0,0,0,111,20.60417,22,20
57,A,1,20,A1,0,0,0,111,20.97917,21.5,20.5
58,A,1,20,A1,0,0,0,111,20.70833,22,18.5
59,A,1,20,A1,0,0,0,111,21.64583,22,21.5
60,A,1,20,A1,0,0,0,111,21.75,22,21.5
61,A,1,20,A1,0,0,0,111,21.72917,22,21.5
62,A,1,20,A1,0,0,0,111,21.625,22,21
63,A,1,20,A1,0,0,0,111,21.60417,22.5,21
64,A,1,20,A1,0,0,0,111,21.75,22.5,21
65,A,1,20,A1,0,0,0,111,21.75,22.5,21
66,A,1,20,A1,0,0,0,111,21.77083,22.5,21
67,A,1,20,A1,0,0,0,111,21.75,22.5,21
68,A,1,20,A1,0,0,0,111,21.85417,22.5,21
69,A,1,20,A1,0,0,0,111,22.1875,23,21
70,A,1,20,A1,0,0,0,111,22.1875,23.5,20.5
71,A,1,20,A1,0,0,0,111,20.875,21.5,20.5
1,B,1,20,B1,0,0,0,0,NA,NA,NA
2,B,1,20,B1,0,0,0,0,NA,NA,NA
3,B,1,20,B1,0,0,0,0,NA,NA,NA
4,B,1,20,B1,0,0,0,0,21.5,22,20.5
