colony_id,day,alates,male,female,unidentified,cumulative_alate,flight,alate_fraction,end,ave_temp,max_temp,min_temp
col-1,1,0,0,0,0,0,0,0,0,4.666667,13,-1.5
col-1,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-1,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-1,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-1,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-1,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-1,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-1,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
col-1,9,0,0,0,0,0,0,0,0,5.3125,22.5,-1.5
col-1,10,0,0,0,0,0,0,0,0,5.25,19.5,-3.5
col-1,11,0,0,0,0,0,0,0,0,7.6875,26,-2.5
col-1,12,0,0,0,0,0,0,0,0,10.895833,24.5,5.5
col-1,13,0,0,0,0,0,0,0,0,8.208333,17,0.5
col-1,14,0,0,0,0,0,0,0,0,9.354167,31,-1
col-1,15,845,412,433,0,845,1,1,0,11.208333,33.5,-1
col-1,16,0,0,0,0,845,0,0,1,10.541667,22,4
col-1,17,0,0,0,0,845,0,0,1,6.833333,26.5,-0.5
col-1,18,0,0,0,0,845,0,0,1,6.354167,29,-3.5
col-1,19,0,0,0,0,845,0,0,1,6.5625,28.5,-3.5
col-1,20,0,0,0,0,845,0,0,1,6.3125,18,-1
col-1,21,0,0,0,0,845,0,0,1,6.958333,26,-1
col-1,22,0,0,0,0,845,0,0,1,8.145833,32,-1
col-1,23,0,0,0,0,845,0,0,1,11.083333,23,2.5
col-1,24,0,0,0,0,845,0,0,1,10.125,32,3
col-1,25,0,0,0,0,845,0,0,1,7.708333,24.5,1.5
col-1,26,0,0,0,0,845,0,0,1,9.520833,29,2.5
col-1,27,0,0,0,0,845,0,0,1,9.854167,21,1
col-1,28,0,0,0,0,845,0,0,1,11.166667,31,0.5
col-1,29,0,0,0,0,845,0,0,1,12.666667,33.5,0
col-1,30,0,0,0,0,845,0,0,1,16.5,37,3
col-1,31,0,0,0,0,845,0,0,1,10.75,15.5,8
col-1,32,0,0,0,0,845,0,0,1,12.604167,25.5,5.5
col-1,33,0,0,0,0,845,0,0,1,12.416667,29.5,4
col-1,34,0,0,0,0,845,0,0,1,11.8125,29.5,3
col-1,35,0,0,0,0,845,0,0,1,12.729167,37.5,1
col-1,36,0,0,0,0,845,0,0,1,11.520833,23.5,3.5
col-1,37,0,0,0,0,845,0,0,1,13.145833,28.5,3.5
col-1,38,0,0,0,0,845,0,0,1,14.666667,33,0.5
col-1,39,0,0,0,0,845,0,0,1,16.958333,41.5,2.5
col-1,40,0,0,0,0,845,0,0,1,20.041667,44.5,8
col-2,1,0,0,0,0,0,0,0,0,4.666667,13,-1.5
col-2,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-2,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-2,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-2,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-2,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-2,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-2,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
